Country,2020 Population,Subregion,Voice and Accountability,Political Stability No Violence,Government Effectiveness,Regulatory Quality ,Rule of Law,Control of Corruption
Algeria,"43,851,044",Northern Africa,-1.102138519,-0.860165298,-0.52584374,-1.291493535,-0.780317664,-0.641845524
Angola,"32,866,272",Middle Africa,-0.810628235,-0.520678997,#N/A,-0.908501685,-0.963171542,-0.927093148
Benin,"12,123,200",Western Africa,-0.077174932,-0.439753205,-0.263881207,-0.372204512,-0.727878749,-0.039298367
Botswana,"2,351,627",Southern Africa,0.49444133,1.088047266,0.256799161,0.415990859,0.440531641,0.629012525
Burkina Faso,"20,903,273",Western Africa,-0.171151832,-1.55159831,-0.669525266,-0.41726613,-0.418125272,-0.101169601
Burundi,"11,890,784",Eastern Africa,-1.538029671,-1.411314845,-1.259296179,-1.018850327,-1.316481829,-1.526950479
Cabo Verde,"555,987",Western Africa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cameroon,"26,545,863",Middle Africa,-1.214585543,-1.527164102,-0.883125901,-0.81710726,-1.146445751,-1.131269097
Central African Republic,"4,829,767",Middle Africa,-1.27312839,-2.17848897,-1.68974936,-1.537032723,-1.711812377,-1.281980276
Chad,"16,425,864",Middle Africa,-1.419714451,-1.26445806,-1.460003376,-1.137971044,-1.305166125,-1.414570093
Comoros,"869,601",Eastern Africa,-0.763881922,-0.2917943,-1.59347713,-1.178480744,-1.199231863,-1.193489671
Congo,"5,518,087",Middle Africa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Côte d'Ivoire,"26,378,274",Western Africa,-0.483163416,-0.976412833,-0.480649769,-0.275844634,-0.599476755,-0.52656281
Djibouti,"988,000",Eastern Africa,-1.420494318,-0.318376482,-0.676725388,-0.811457396,-1.011851192,-0.741347909
DR Congo,"89,561,403",Middle Africa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Egypt,"102,334,404",Northern Africa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Equatorial Guinea,"1,402,985",Middle Africa,-1.83182025,-0.192240477,-1.471353889,-1.549407482,-1.253869295,-1.685068011
Eritrea,"3,546,421",Eastern Africa,-2.076874733,-0.984424829,-1.616784811,-2.335105658,-1.471619844,-1.32643199
Eswatini,"1,160,164",Southern Africa,-1.327598572,-0.118748263,-0.768503189,-0.557064891,-0.530746579,-0.455250919
Ethiopia,"114,963,588",Eastern Africa,-1.017296791,-1.738457322,-0.552068293,-0.957410932,-0.397793233,-0.362394542
Gabon,"2,225,734",Middle Africa,-0.993986249,-0.077141568,-0.909902334,-0.878432214,-0.665462434,-0.924422801
Gambia,"2,416,668",Western Africa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
